method,model_name,split,seed,threshold_source,label,f1,auprc,gold,pred,gold_rate,pred_rate,source_file
bce,microsoft/deberta-v3-base,test,11,provided,Humility,0.02702702702702703,0.015813985269021568,30.0,44.0,0.0020591667238657424,0.0030201111950030886,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,11,provided,Benevolence: caring,0.238702201622248,0.17483398023693364,324.0,539.0,0.022239000617750016,0.03699636213878784,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,11,provided,Benevolence: dependability,0.27728613569321536,0.20786352097663224,288.0,390.0,0.019768000549111125,0.02676916741025465,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,11,provided,Universalism: concern,0.4281150159744409,0.3791964225019957,735.0,830.0,0.05044958473471069,0.056970279360285536,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,11,provided,Universalism: nature,0.5391766268260292,0.5106558111577928,293.0,460.0,0.02011119500308875,0.03157388976594138,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,11,provided,Universalism: tolerance,0.13215859030837004,0.14087970052006255,171.0,56.0,0.011737250326034732,0.0038437778845493856,results/logs/deberta_bce_seed11_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,1701,provided,Self-direction: thought,0.10548523206751054,0.051182899940759384,171.0,303.0,0.011737250326034732,0.020797583911044,results/logs/deberta_bce_seed1701_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,1701,provided,Self-direction: action,0.191272051996286,0.13262421002508448,512.0,565.0,0.03514311208730867,0.03878097329947148,results/logs/deberta_bce_seed1701_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,1701,provided,Stimulation,0.2285714285714286,0.1863841774983928,371.0,294.0,0.02546502848513968,0.020179833893884273,results/logs/deberta_bce_seed1701_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,1701,provided,Hedonism,0.25517241379310346,0.15510094611550054,125.0,165.0,0.008579861349440594,0.011325416981261582,results/logs/deberta_bce_seed1701_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,1701,provided,Achievement,0.36020744931636023,0.3119162386052333,911.0,1210.0,0.06253002951472304,0.08305305786258495,results/logs/deberta_bce_seed1701_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,1701,provided,Power: dominance,0.3492063492063492,0.26674704318793296,631.0,818.0,0.04331114009197611,0.05614661267073924,results/logs/deberta_bce_seed1701_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,1701,provided,Power: resources,0.3905511811023622,0.3371694879666338,805.0,1100.0,0.05525430709039742,0.07550277987507722,results/logs/deberta_bce_seed1701_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,1701,provided,Face,0.24099722991689748,0.14279240743113525,267.0,455.0,0.018326583842405108,0.03123069531196376,results/logs/deberta_bce_seed1701_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,1701,provided,Security: personal,0.3185595567867036,0.21815797664788023,352.0,370.0,0.02416088956002471,0.025396389594344156,results/logs/deberta_bce_seed1701_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,1701,provided,Security: societal,0.4236237695953336,0.3676732401994749,1151.0,1592.0,0.07900336330564899,0.10927311414647539,results/logs/deberta_bce_seed1701_deberta-v3-base_test_metrics.json
bce,microsoft/deberta-v3-base,test,1701,provided,Tradition,0.4356846473029045,0.3770002639286278,196.0,286.0,0.01345322259592285,0.01963072276752008,results/logs/deberta_bce_seed1701_deberta-v3-base_test_metrics.json
