comparison,main_paper_comparison,condition_a,condition_b,condition_a_family,condition_b_family,reference_seed,metric,higher_is_better,score_a,score_b,delta_a_minus_b,delta_ci_low,delta_ci_high,improvement_a_over_b,improvement_ci_low,improvement_ci_high,p_value_two_sided,n_samples,n_iterations,bootstrap_seed,significant_0.05
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed1984,llm,bce_thresholding,1984.0,decoder_geometry_cost,False,0.5633430836399489,0.5551533029366503,0.008189780703298566,-0.01379528391679125,0.027499016805777342,-0.008189780703298566,-0.027499016805777342,0.01379528391679125,0.532,14569,2000,42,False
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed1984,llm,bce_thresholding,1984.0,macro_f1,True,0.24295939842614378,0.2871471394856549,-0.04418774105951112,-0.05663532520020073,-0.03148181067668222,-0.04418774105951112,-0.05663532520020073,-0.03148181067668222,0.0,14569,2000,42,True
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed1984,llm,bce_thresholding,1984.0,micro_f1,True,0.2730267336123114,0.3364108354262211,-0.06338410181390969,-0.07246354496599147,-0.054772082439704876,-0.06338410181390969,-0.07246354496599147,-0.054772082439704876,0.0,14569,2000,42,True
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed1984,llm,bce_thresholding,1984.0,opposite_error_rate,False,0.5214343667030334,0.5089738965034485,0.012460470199584961,0.001272784173488617,0.02383486777544021,-0.012460470199584961,-0.02383486777544021,-0.001272784173488617,0.03,14569,2000,42,True
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed1984,llm,bce_thresholding,1984.0,decoder_geometry_cost,False,0.5757443684383586,0.5551533029366503,0.020591065501708306,-0.0026418060762373073,0.04119387902214994,-0.020591065501708306,-0.04119387902214994,0.0026418060762373073,0.08,14569,2000,42,False
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder_seed1984,llm,schwartz_decoder,1984.0,macro_f1,True,0.2395924129005671,0.28869776184762946,-0.049105348947062366,-0.0602426358004333,-0.03709836144566429,-0.049105348947062366,-0.0602426358004333,-0.03709836144566429,0.0,14569,2000,42,True
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder_seed1984,llm,schwartz_decoder,1984.0,micro_f1,True,0.2643078796457636,0.336040764511266,-0.07173288486550244,-0.0800495016444701,-0.06303147322713953,-0.07173288486550244,-0.0800495016444701,-0.06303147322713953,0.0,14569,2000,42,True
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder_seed1984,llm,schwartz_decoder,1984.0,opposite_error_rate,False,0.5321758389472961,0.5090171098709106,0.023158729076385498,0.012668316066265107,0.033805748820304855,-0.023158729076385498,-0.033805748820304855,-0.012668316066265107,0.0,14569,2000,42,True
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder_seed1984,llm,schwartz_decoder,1984.0,decoder_geometry_cost,False,0.5633430836399489,0.5422815654956356,0.02106151814431334,-0.0014036841160420838,0.03972422276782938,-0.02106151814431334,-0.03972422276782938,0.0014036841160420838,0.063,14569,2000,42,False
qwen_definitions_vs_schwartz_decoder,False,qwen_definitions,schwartz_decoder_seed1984,llm,schwartz_decoder,1984.0,macro_f1,True,0.24295939842614378,0.28869776184762946,-0.045738363421485684,-0.05848645583552892,-0.03273942915804961,-0.045738363421485684,-0.05848645583552892,-0.03273942915804961,0.0,14569,2000,42,True
qwen_definitions_vs_schwartz_decoder,False,qwen_definitions,schwartz_decoder_seed1984,llm,schwartz_decoder,1984.0,micro_f1,True,0.2730267336123114,0.336040764511266,-0.06301403089895463,-0.07215820462714562,-0.05436975732034245,-0.06301403089895463,-0.07215820462714562,-0.05436975732034245,0.0,14569,2000,42,True
